zip,cbsa,geo_name,rpp
60422,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60423,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60424,28100,"Kankakee, IL ",92.9
60424,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60425,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60426,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60428,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60429,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60430,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60431,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60432,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60433,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60434,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60435,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60436,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60437,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60437,36837,NA,NA
60438,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60439,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60440,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60441,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60442,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60443,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60444,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60445,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60446,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60447,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60448,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60449,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60450,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60451,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60452,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60453,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60454,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60455,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
